,#,,,,,
indep_dabc,1612213983,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,12384
indep_dabc,1612213983,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,11934
indep_dabc,1612213983,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,12216
indep_dabc,1612213983,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,11950
indep_dabc,1612213983,exp.independent.yes.conditional,13,Does Helen have a lealo? ,Yes,13050
indep_dabc,1612213983,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,8594
indep_dabc,1612213983,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,10953
indep_dabc,1612213983,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,7906
indep_dabc,1612213983,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,12400
indep_dabc,1612213983,exp.independent.yes.conditional,18,Does Marc have a lammor? ,Yes,23441
indep_dabc,1612213983,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,9171
indep_dabc,1612213983,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,15256
indep_dabc,1612214343,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,41342
indep_dabc,1612214343,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,40561
indep_dabc,1612214343,exp.independent.yes.conditional,3,Does Rita have a hoopler? ,No,76399
indep_dabc,1612214343,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,13277
indep_dabc,1612214343,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,12305
indep_dabc,1612214343,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,21014
indep_dabc,1612214343,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,10999
indep_dabc,1612214343,exp.independent.yes.conditional,8,Does Cece have a dord? ,No,29369
indep_dabc,1612214343,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,22964
indep_dabc,1612214343,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,10642
indep_dabc,1612214343,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,13319
indep_dabc,1612214343,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,10130
indep_dabc,1612214343,exp.independent.yes.conditional,13,Does Helen have a lealo? ,No,24457
indep_dabc,1612214343,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,11391
indep_dabc,1612214343,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,16302
indep_dabc,1612214343,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,17512
indep_dabc,1612214343,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,14363
indep_dabc,1612214343,exp.independent.yes.conditional,18,Does Marc have a lammor? ,No,18875
indep_dabc,1612214343,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,11381
indep_dabc,1612214343,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,20013
indep_dabc,1612214466,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,26857
indep_dabc,1612214466,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,22114
indep_dabc,1612214466,exp.independent.yes.conditional,3,Does Rita have a hoopler? ,Yes,46401
indep_dabc,1612214466,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,10702
indep_dabc,1612214466,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,9853
indep_dabc,1612214466,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,6830
indep_dabc,1612214466,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,11075
indep_dabc,1612214466,exp.independent.yes.conditional,8,Does Cece have a dord? ,Yes,12822
indep_dabc,1612214466,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,9624
indep_dabc,1612214466,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,4677
indep_dabc,1612214466,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,7379
indep_dabc,1612214466,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,10822
indep_dabc,1612214466,exp.independent.yes.conditional,13,Does Helen have a lealo? ,Yes,5128
indep_dabc,1612214466,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,5589
indep_dabc,1612214466,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,7076
indep_dabc,1612214466,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,6256
indep_dabc,1612214466,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,7929
indep_dabc,1612214466,exp.independent.yes.conditional,18,Does Marc have a lammor? ,Yes,7834
indep_dabc,1612214466,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,8011
indep_dabc,1612214466,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,71779
indep_dabc,1612217134,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,11441
indep_dabc,1612217134,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,6236
indep_dabc,1612217134,exp.independent.yes.conditional,3,Does Rita have a hoopler? ,No,9941
indep_dabc,1612217134,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,6117
indep_dabc,1612217134,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,No,6924
indep_dabc,1612217134,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,12158
indep_dabc,1612217134,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,7112
indep_dabc,1612217134,exp.independent.yes.conditional,8,Does Cece have a dord? ,No,11916
indep_dabc,1612217134,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,10605
indep_dabc,1612217134,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,8206
indep_dabc,1612217134,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,6708
indep_dabc,1612217134,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,9182
indep_dabc,1612217134,exp.independent.yes.conditional,13,Does Helen have a lealo? ,No,12932
indep_dabc,1612217134,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,6572
indep_dabc,1612217134,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,6856
indep_dabc,1612217134,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,10182
indep_dabc,1612217134,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,7862
indep_dabc,1612217134,exp.independent.yes.conditional,18,Does Marc have a lammor? ,Yes,10981
indep_dabc,1612217134,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,7708
indep_dabc,1612217134,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,11971
