,#,,,,,
indep_bcda,1612214122,exp.independent.yes.conditional,3,Does Helen have a lealo? ,No,10355
indep_bcda,1612214122,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,10708
indep_bcda,1612214122,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,7363
indep_bcda,1612214122,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,6241
indep_bcda,1612214122,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,4588
indep_bcda,1612214122,exp.independent.yes.conditional,8,Does Marc have a lammor? ,No,13657
indep_bcda,1612214122,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,12778
indep_bcda,1612214122,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,4356
indep_bcda,1612214122,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,4924
indep_bcda,1612214122,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,3696
indep_bcda,1612214122,exp.independent.yes.conditional,13,Does Rita have a hoopler? ,No,15113
indep_bcda,1612214122,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,4324
indep_bcda,1612214122,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,4874
indep_bcda,1612214122,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,6170
indep_bcda,1612214122,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,5675
indep_bcda,1612214122,exp.independent.yes.conditional,18,Does Cece have a dord? ,Yes,11465
indep_bcda,1612214122,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,5127
indep_bcda,1612214122,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,5143
indep_bcda,1612214622,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,16046
indep_bcda,1612214622,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,12177
indep_bcda,1612214622,exp.independent.yes.conditional,3,Does Helen have a lealo? ,No,25600
indep_bcda,1612214622,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,11302
indep_bcda,1612214622,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,21531
indep_bcda,1612214622,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,15917
indep_bcda,1612214622,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,10923
indep_bcda,1612214622,exp.independent.yes.conditional,8,Does Marc have a lammor? ,No,14023
indep_bcda,1612214622,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,12687
indep_bcda,1612214622,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,7686
indep_bcda,1612214622,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,6268
indep_bcda,1612214622,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,6613
indep_bcda,1612214622,exp.independent.yes.conditional,13,Does Rita have a hoopler? ,No,7108
indep_bcda,1612214622,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,7797
indep_bcda,1612214622,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,8104
indep_bcda,1612214622,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,6690
indep_bcda,1612214622,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,7250
indep_bcda,1612214622,exp.independent.yes.conditional,18,Does Cece have a dord? ,No,6380
indep_bcda,1612214622,exp.distractor.no.conditional,19,Does Steve love pavarons? ,Yes,7455
indep_bcda,1612214622,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,16365
indep_bcda,1612215535,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,35946
indep_bcda,1612215535,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,17737
indep_bcda,1612215535,exp.independent.yes.conditional,3,Does Helen have a lealo? ,No,32550
indep_bcda,1612215535,exp.distractor.no.non_cond,4,Does Dana love to flomp? ,No,14034
indep_bcda,1612215535,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,9559
indep_bcda,1612215535,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,12995
indep_bcda,1612215535,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,6273
indep_bcda,1612215535,exp.independent.yes.conditional,8,Does Marc have a lammor? ,No,15982
indep_bcda,1612215535,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,10191
indep_bcda,1612215535,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,11281
indep_bcda,1612215535,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,10226
indep_bcda,1612215535,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,7242
indep_bcda,1612215535,exp.independent.yes.conditional,13,Does Rita have a hoopler? ,No,9818
indep_bcda,1612215535,exp.distractor.no.non_cond,14,Does Nate know karink? ,No,10218
indep_bcda,1612215535,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,10118
indep_bcda,1612215535,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,5319
indep_bcda,1612215535,exp.distractor.no.conditional,17,Does Quinn care about vanoir? ,No,9160
indep_bcda,1612215535,exp.independent.yes.conditional,18,Does Cece have a dord? ,No,37040
indep_bcda,1612215535,exp.distractor.no.conditional,19,Does Steve love pavarons? ,No,8546
indep_bcda,1612215535,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,14074
