exp,id,cond,item,question,resp,rt
dep_abcd,1612214349,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,3710
dep_abcd,1612214349,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,Yes,8596
dep_abcd,1612215261,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,10030
dep_abcd,1612215261,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,Yes,8091
dep_abcd,1612215261,exp.dependent.no.conditional,3,Does Cece have a dord? ,Yes,32361
dep_abcd,1612215261,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,13495
dep_abcd,1612215261,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,6393
dep_abcd,1612215261,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,5747
dep_abcd,1612215261,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,5268
dep_abcd,1612215261,exp.dependent.no.conditional,8,Does Helen have a lealo? ,Yes,32092
dep_abcd,1612215261,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,9203
dep_abcd,1612215261,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,4516
dep_abcd,1612215261,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,5716
dep_abcd,1612215261,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,5084
dep_abcd,1612215261,exp.dependent.no.conditional,13,Does Marc have a lammor? ,Yes,17203
dep_abcd,1612215261,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,3724
dep_abcd,1612215261,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,5629
dep_abcd,1612215261,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,4099
dep_abcd,1612215261,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,36274
dep_abcd,1612215261,exp.dependent.no.conditional,18,Does Rita have a hoopler? ,Yes,5924
dep_abcd,1612215261,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,3179
dep_abcd,1612215261,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,17405
