exp,#,,,,,
dep_bcda,1612214192,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,8087
dep_bcda,1612214192,exp.dependent.no.conditional,13,Does Rita have a hoopler? ,Yes,13527
dep_bcda,1612214192,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,8698
dep_bcda,1612214192,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,6372
dep_bcda,1612214192,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,6189
dep_bcda,1612214192,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,7679
dep_bcda,1612214192,exp.dependent.no.conditional,18,Does Cece have a dord? ,Yes,12400
dep_bcda,1612214192,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,6416
dep_bcda,1612214192,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,16692
dep_bcda,1612217511,exp.distractor.no.non_cond,1,Does Ann like to toogid? ,No,11791
dep_bcda,1612217511,exp.distractor.yes.conditional,2,Does Bea have a hondart? ,No,9925
dep_bcda,1612217511,exp.dependent.no.conditional,3,Does Helen have a lealo? ,Yes,17649
dep_bcda,1612217511,exp.distractor.yes.non_cond,4,Does Dana love to flomp? ,Yes,10786
dep_bcda,1612217511,exp.distractor.yes.non_cond,5,Does Eva hate zeptons? ,Yes,6160
dep_bcda,1612217511,exp.distractor.no.conditional,6,Does Faye have a taplor? ,No,8088
dep_bcda,1612217511,exp.distractor.yes.non_cond,7,Does Gabe enjoy tuffros? ,Yes,6693
dep_bcda,1612217511,exp.dependent.no.conditional,8,Does Marc have a lammor? ,Yes,6914
dep_bcda,1612217511,exp.distractor.no.non_cond,9,Does Ivan know bezido? ,No,5220
dep_bcda,1612217511,exp.distractor.yes.conditional,10,Does Jill like to yoffa? ,Yes,4121
dep_bcda,1612217511,exp.distractor.no.non_cond,11,Does Katie care about linters? ,No,11107
dep_bcda,1612217511,exp.distractor.yes.non_cond,12,Does Leah enjoy folphies? ,Yes,4212
dep_bcda,1612217511,exp.dependent.no.conditional,13,Does Rita have a hoopler? ,Yes,7653
dep_bcda,1612217511,exp.distractor.yes.non_cond,14,Does Nate know karink? ,Yes,6171
dep_bcda,1612217511,exp.distractor.no.non_cond,15,Does Owen like bisloor? ,No,6553
dep_bcda,1612217511,exp.distractor.yes.non_cond,16,Does Peter hate flungo? ,Yes,3685
dep_bcda,1612217511,exp.distractor.yes.conditional,17,Does Quinn care about vanoir? ,Yes,6128
dep_bcda,1612217511,exp.dependent.no.conditional,18,Does Cece have a dord? ,No,6608
dep_bcda,1612217511,exp.distractor.yes.conditional,19,Does Steve love pavarons? ,Yes,3838
dep_bcda,1612217511,exp.distractor.no.conditional,20,Is Tracy a tarbon? ,No,5565
